,postcode,propertyType,bedrooms,datesold_year,month,price,lag1,lag2,lag3,lag6,lag12,lag24,lag36
3027,7,0,4,2007,2,13.17115354157376,13.55098252632654,13.548695206639117,13.548638497009653,13.543946183080914,13.533265376458438,13.508225499998941,13.493079569127792
7504,22,0,3,2007,2,12.577636201962656,12.940417119168819,12.939460060579142,12.937894949365246,12.933090832880925,12.925453058723255,12.910904916517202,12.897717760052055
7084,21,0,3,2007,3,12.70076888736628,12.99336820689268,12.993777738376108,12.992181499138878,12.987280592754974,12.979763744040518,12.961663272519598,12.948609319155338
7226,21,0,4,2007,3,12.84792653170257,13.235014190527002,13.233357871496153,13.231306429206487,13.22776252201437,13.219575603988028,13.19849010122038,13.18728418253295
7505,22,0,3,2007,3,12.644327576461327,12.577636201962656,12.939460060579142,12.937894949365246,12.933090832880925,12.925453058723255,12.910904916517202,12.897717760052055
2632,6,0,4,2007,4,14.24077829336862,13.632714500495622,13.625295161796686,13.622631169557884,13.611163364806805,13.583782313684628,13.511494444242759,13.474366648911017
2916,7,0,3,2007,4,12.896716695872,13.318971479228326,13.315641133484185,13.31463144280725,13.302279350453723,13.292540436303941,13.264899903828647,13.242377659135961
7227,21,0,4,2007,4,13.049792684569493,12.84792653170257,13.233357871496153,13.231306429206487,13.22776252201437,13.219575603988028,13.19849010122038,13.18728418253295
6105,18,0,3,2007,5,12.791077667470416,13.024643199658437,13.023693356524202,13.022692819324222,13.019106263544833,13.01238066824983,12.995684403261208,12.983887652959897
7506,22,0,3,2007,5,12.676076274775909,12.644327576461327,12.577636201962656,12.937894949365246,12.933090832880925,12.925453058723255,12.910904916517202,12.897717760052055
2789,6,1,2,2007,6,12.611537753638338,12.72130835276623,12.722445441756188,12.721444341333973,12.717055270431622,12.71871372813519,12.708920166319485,12.700576282498597
3930,10,0,4,2007,6,13.652991628466498,13.916724535559837,13.912434044245478,13.912995905263873,13.904881339424529,13.877882616152727,13.825972904938924,13.770330497747583
4960,12,0,4,2007,6,13.155798153490569,13.205846699396261,13.204493826386669,13.202989116917546,13.19967388619622,13.189469350903481,13.167924957058393,13.150579692262612
6106,18,0,3,2007,6,12.86099861326992,12.791077667470416,13.023693356524202,13.022692819324222,13.019106263544833,13.01238066824983,12.995684403261208,12.983887652959897
6843,20,0,4,2007,6,13.547631112808672,13.336264251565785,13.334947529424555,13.334365985735577,13.330911207252779,13.325440566267908,13.310164171269392,13.298888981114336
7507,22,0,3,2007,6,12.628067055589549,12.676076274775909,12.644327576461327,12.577636201962656,12.933090832880925,12.925453058723255,12.910904916517202,12.897717760052055
0,0,0,1,2007,7,12.697715449879391,13.14360363565622,13.021597331938228,12.903514931463581,12.697715449879391,13.221756930054593,13.216973045246451,13.198091075432924
642,2,0,3,2007,7,13.27401092701347,13.432542546615739,13.430476423911028,13.428834925683793,13.423654486745512,13.41229111096672,13.387364192885439,13.36331055968262
783,2,0,4,2007,7,13.710150042306449,13.638907918887353,13.639873054187408,13.639213686817543,13.633127711610381,13.617787052715615,13.588242095434461,13.559085672678526
1313,3,0,4,2007,7,14.291744736960643,14.058537235750052,14.061095411305692,14.05864169507532,14.053572096149578,14.046714146759511,14.023154343843716,13.996364810302776
1961,4,1,2,2007,7,12.793859310432293,13.117855639129452,13.115498479388814,13.115421574312478,13.112069367017288,13.105586000477631,13.0905335361414,13.079514586728916
2160,5,0,3,2007,7,13.152892582439152,13.473788192069753,13.47310361862622,13.47192685405545,13.464630853654837,13.451174358090404,13.42190567533179,13.397962627024734
3028,7,0,4,2007,7,13.232114241363448,13.17115354157376,13.548695206639117,13.548638497009653,13.543946183080914,13.533265376458438,13.508225499998941,13.493079569127792
3308,7,1,3,2007,7,13.081541382884074,13.085932642479213,13.067326087220154,13.050826295805116,12.992080082764469,13.221756930054593,13.216973045246451,13.198091075432924
3379,9,0,3,2007,7,13.0080742310022,13.189805469129087,13.188361601182844,13.187176944101505,13.183058042417738,13.170592275805348,13.149317884569658,13.125464951482565
3735,9,1,2,2007,7,12.611537753638338,12.741619911775278,12.742565083825971,12.740547309446628,12.731286378455653,12.712353746190114,12.643070915493107,12.572561472358096
5100,12,0,5,2007,7,13.190022025878145,13.349129251833988,13.347907302087513,13.347665073073328,13.342619815249938,13.325428425057453,13.305425142468126,13.278814653788588
6558,19,0,4,2007,7,13.16158409055761,13.258185530237798,13.25690897648224,13.255633129107087,13.250459991861986,13.239520597012769,13.21938138964173,13.196590226784682
6844,20,0,4,2007,7,13.215853720491667,13.547631112808672,13.334947529424555,13.334365985735577,13.330911207252779,13.325440566267908,13.310164171269392,13.298888981114336
7508,22,0,3,2007,7,12.72486643894534,12.628067055589549,12.676076274775909,12.644327576461327,12.933090832880925,12.925453058723255,12.910904916517202,12.897717760052055
9109,26,0,5,2007,7,13.592367006650065,13.563114461806682,13.562138927944023,13.559714925079437,13.548296050681888,13.539173682562128,13.500557756020198,13.478697207904037
132,0,0,4,2007,8,13.579788224443204,13.996128462584808,13.993444050895627,13.993391812040121,13.987996307483243,13.974072245903562,13.935228747460904,13.897589266294341
643,2,0,3,2007,8,13.314841514407656,13.27401092701347,13.430476423911028,13.428834925683793,13.423654486745512,13.41229111096672,13.387364192885439,13.36331055968262
2546,6,0,3,2007,8,13.36295384232226,13.337723032473292,13.335761274794068,13.332594572606038,13.32295836950649,13.306919608026675,13.275109096070278,13.238258589203333
2917,7,0,3,2007,8,13.16158409055761,12.896716695872,13.315641133484185,13.31463144280725,13.302279350453723,13.292540436303941,13.264899903828647,13.242377659135961
3516,9,0,4,2007,8,13.185338176565716,13.411076958954968,13.408978457750884,13.407618292026779,13.398861832317339,13.384607936095602,13.361481290035485,13.336828455753206
5466,14,0,4,2007,8,13.34550692871854,13.346501362308434,13.344970947783843,13.343842493344049,13.340233609971103,13.32945557297301,13.300864571260435,13.274147164538215
5859,14,1,3,2007,8,12.86099861326992,12.971374661311586,12.976184177265267,12.97642805382286,12.976183334111756,12.969871874118782,12.970319614386161,12.9756743744125
6107,18,0,3,2007,8,12.759957758756611,12.86099861326992,12.791077667470416,13.022692819324222,13.019106263544833,13.01238066824983,12.995684403261208,12.983887652959897
6241,18,0,4,2007,8,12.948009990259552,13.284627303104596,13.282400976666631,13.281578011610929,13.278102393922223,13.270486104494317,13.251051376069034,13.227314737317021
6366,18,0,5,2007,8,12.943236711506891,13.50581217126004,13.508818196514303,13.508472554896155,13.49784859670614,13.491016251097879,13.48921940656877,13.49611722184377
6845,20,0,4,2007,8,13.279367126213993,13.215853720491667,13.547631112808672,13.334365985735577,13.330911207252779,13.325440566267908,13.310164171269392,13.298888981114336
6982,20,0,5,2007,8,13.610943392223,13.492266583396441,13.492131135305518,13.490504350206916,13.481908516799772,13.467816145748918,13.447384799705027,13.418264826245942
7052,21,0,2,2007,8,12.66032791780777,12.833730025362453,12.83072394491852,12.82507546005728,12.812883722437364,12.802531319388972,12.74951685916667,13.198091075432924
7085,21,0,3,2007,8,12.769964990232857,12.70076888736628,12.993777738376108,12.992181499138878,12.987280592754974,12.979763744040518,12.961663272519598,12.948609319155338
7228,21,0,4,2007,8,13.028052697933088,13.049792684569493,12.84792653170257,13.231306429206487,13.22776252201437,13.219575603988028,13.19849010122038,13.18728418253295
7483,22,0,2,2007,8,12.691580461311874,12.767465140091243,12.765639194135678,12.764148624024148,12.744915009842051,12.710897920264172,13.216973045246451,13.198091075432924
8359,25,0,3,2007,8,12.813117127036708,13.01094152945393,13.009641713008701,13.007967084441798,13.003794204466123,12.992038692445291,12.967606449445613,12.951623690346755
8493,25,0,4,2007,8,13.235692062711331,13.380134997786213,13.379419609451418,13.377844653565536,13.374337063590376,13.36642757308034,13.344567282946443,13.32112862605652
8807,25,1,3,2007,8,12.911642346088676,12.975989366689443,12.966729744954895,12.966462481470735,12.942813376396336,12.91407587619636,13.216973045246451,13.198091075432924
644,2,0,3,2007,9,13.06048797368624,13.314841514407656,13.27401092701347,13.428834925683793,13.423654486745512,13.41229111096672,13.387364192885439,13.36331055968262
784,2,0,4,2007,9,13.128345449081877,13.710150042306449,13.639873054187408,13.639213686817543,13.633127711610381,13.617787052715615,13.588242095434461,13.559085672678526
1080,2,1,2,2007,9,12.89921982609012,12.841834377696472,12.839787132072429,12.838715191752481,12.838142559667265,12.836129937814892,12.83364139496258,12.834580754998028
1410,3,0,5,2007,9,14.19394699368452,14.17253470489931,14.170405954326785,14.168199794642534,14.16550541779198,14.149991650566905,14.13802567294253,14.117800329335722
1711,4,0,3,2007,9,13.079455876393052,13.490272051841028,13.487990382999667,13.486492051590444,13.47629378266195,13.454606308288875,13.41885232153483,13.38042483874634
3029,7,0,4,2007,9,13.16158409055761,13.232114241363448,13.17115354157376,13.548638497009653,13.543946183080914,13.533265376458438,13.508225499998941,13.493079569127792
3380,9,0,3,2007,9,13.175904144332359,13.0080742310022,13.188361601182844,13.187176944101505,13.183058042417738,13.170592275805348,13.149317884569658,13.125464951482565
3736,9,1,2,2007,9,12.542544882151386,12.611537753638338,12.742565083825971,12.740547309446628,12.731286378455653,12.712353746190114,12.643070915493107,12.572561472358096
3931,10,0,4,2007,9,13.732128949025222,13.652991628466498,13.912434044245478,13.912995905263873,13.904881339424529,13.877882616152727,13.825972904938924,13.770330497747583
